SUM_Measure_1,SUM_Measure_2,SUM_Measure_3,SUM_Measure_4,SUM_Measure_5,SUM_Measure_6,SUM_Measure_7,SUM_Measure_8,SUM_Measure_9,SUM_Measure_10,CNT_Measure_1,CNT_Measure_2,CNT_Measure_3,CNT_Measure_4,CNT_Measure_5,AVG_Measure_1,AVG_Measure_2,AVG_Measure_3,AVG_Measure_4,AVG_Measure_5,Key_Dim_1,Key_Dim_2,Key_Dim_3,Key_Dim_4,Key_Dim_5,Key_Dim_6,Key_Dim_7,Key_Dim_8,Key_Dim_9,Key_Dim_10,Other_Field_1,Other_Field_2,Other_Field_3,Other_Field_4,Other_Field_5,Other_Field_6,Other_Field_7,Other_Field_8,Other_Field_9,Other_Field_10,DateKey
138702.56,2,1508.9,,,,,,,,1001,,,,,2.0,,,,,Engineering,Sydney CBD,Full Time,Grade 5,,,,,,,Ava Williams,ava.williams@health.nsw.gov.au,On track,,,,,,,,2023-04-06
67168.46,33,1243.8,,,,,,,,1002,,,,,3.2,,,,,Legal,North Sydney,Casual,Grade 5,,,,,,,Luke Smith,luke.smith@health.nsw.gov.au,Needs review,,,,,,,,2024-12-15
101844.45,18,395.4,,,,,,,,1003,,,,,4.8,,,,,Operations,Sydney CBD,Full Time,Grade 4,,,,,,,Henry Allen,henry.allen@health.nsw.gov.au,Completed,,,,,,,,2024-09-10
74968.55,3,1486.5,,,,,,,,1004,,,,,3.1,,,,,Legal,Sydney CBD,Contract,Grade 5,,,,,,,Cameron Collins,cameron.collins@health.nsw.gov.au,Needs review,,,,,,,,2024-12-22
41824.38,43,533.0,,,,,,,,1005,,,,,2.2,,,,,HR,North Sydney,Full Time,Grade 4,,,,,,,Luke Nelson,luke.nelson@health.nsw.gov.au,,,,,,,,,2024-01-09
57651.2,23,498.1,,,,,,,,1006,,,,,2.1,,,,,HR,Macquarie Park,Part Time,Grade 5,,,,,,,Chen Hughes,chen.hughes@health.nsw.gov.au,Needs review,,,,,,,,2024-04-18
94507.43,41,1407.5,,,,,,,,1007,,,,,1.9,,,,,Operations,Sydney CBD,Part Time,Grade 1,,,,,,,Dylan Scott,dylan.scott@health.nsw.gov.au,Completed,,,,,,,,2023-03-09
65867.08,37,1765.1,,,,,,,,1008,,,,,2.3,,,,,IT,Chatswood,Casual,Grade 2,,,,,,,Jake Thomas,jake.thomas@health.nsw.gov.au,Needs review,,,,,,,,2024-07-28
121626.14,48,1210.7,,,,,,,,1009,,,,,4.6,,,,,Legal,Parramatta,Part Time,Grade 2,,,,,,,Emily Carter,emily.carter@health.nsw.gov.au,On track,,,,,,,,2023-02-18
176387.49,10,1292.1,,,,,,,,1010,,,,,4.2,,,,,Legal,Macquarie Park,Full Time,Grade 4,,,,,,,Charlotte Stewart,charlotte.stewart@health.nsw.gov.au,Escalated,,,,,,,,2024-06-25
72740.4,36,1735.5,,,,,,,,1011,,,,,1.0,,,,,HR,Macquarie Park,Contract,Grade 3,,,,,,,Liam Clark,liam.clark@health.nsw.gov.au,Escalated,,,,,,,,2023-06-11
107133.03,47,1764.1,,,,,,,,1012,,,,,2.1,,,,,Engineering,Macquarie Park,Full Time,Grade 3,,,,,,,Zoe Anderson,zoe.anderson@health.nsw.gov.au,Pending approval,,,,,,,,2023-07-23
55982.68,49,406.9,,,,,,,,1013,,,,,4.8,,,,,Finance,Macquarie Park,Contract,Grade 4,,,,,,,Oliver Wilson,oliver.wilson@health.nsw.gov.au,Completed,,,,,,,,2023-11-11
70706.89,16,1768.2,,,,,,,,1014,,,,,4.8,,,,,HR,Chatswood,Full Time,Grade 5,,,,,,,Elena Thomas,elena.thomas@health.nsw.gov.au,Needs review,,,,,,,,2024-11-06
110798.0,36,413.7,,,,,,,,1015,,,,,3.1,,,,,Legal,North Sydney,Part Time,Grade 3,,,,,,,Olivia Cook,olivia.cook@health.nsw.gov.au,,,,,,,,,2024-01-18
104477.01,34,957.8,,,,,,,,1016,,,,,2.0,,,,,HR,Parramatta,Full Time,Grade 5,,,,,,,Sarah White,sarah.white@health.nsw.gov.au,Pending approval,,,,,,,,2023-08-14
31222.44,46,1299.1,,,,,,,,1017,,,,,1.9,,,,,Finance,Parramatta,Full Time,Grade 5,,,,,,,Sam Harris,sam.harris@health.nsw.gov.au,,,,,,,,,2024-05-12
